synthetic_data_dictionary
Variable Name,Variable Type,ALSPAC Responses,Numeric Values,Processing Details,Reference Document
agg_score,Discrete,,,"Aggression score was determined by three questions: (f581) ""Does your partner get angry with you?"" (f583) ""Do you have arguments with and feelings?"" and (f585) ""Do you get angry with your partner?"". The response options for all three questions were ""Very often"", ""Often"", ""Sometimes"", ""Rarely"" and ""Never"" with the codes 1, 2, 3, 4 and 5 respectively. The codes for the three questions were summed together to calculate the score.",
alon_week,Ordinal,Less than 1 hour,0,"The category ""Not at all"" was collapsed into the ""Less than 1 hour"" category",
,,1-2 hours,1,,
 ,,3 or more hours,2,,
alon_wend,Ordinal,Less than 1 hour,0,"The category ""Not at all"" was collapsed into the ""Less than 1 hour"" category",
 ,,1-2 hours,1,,
 ,,3 or more hours,2,,
anx_band_07,Ordinal,,"Given as a percentage, ‘~, ’<‘ and ‘>’ have been removed",Any anxiety disorder was determined using the DAWBA. The child completed the computerised questions and an ordered categorical measure of any anxiety disorder with 6 categories was derived using computer algorithms. The categories are probability bands and indicate the likelihood of the child having any anxiety disorder. The categories range from <0.1% (0.1% children in this band have any anxiety disorder) to > 70% (>70% of children in this band have any anxiety disorder). See Goodman2011 for more details.,Goodman2011.pdf
anx_band_10,Ordinal,,"Given as a percentage, ‘~, ’<‘ and ‘>’ have been removed",Any anxiety disorder was determined using the DAWBA. The child completed the computerised questions and an ordered categorical measure of any anxiety disorder with 6 categories was derived using computer algorithms. The categories are probability bands and indicate the likelihood of the child having any anxiety disorder. The categories range from <0.1% (0.1% children in this band have any anxiety disorder) to > 70% (>70% of children in this band have any anxiety disorder). See Goodman2011 for more details.,Goodman2011.pdf
anx_band_13,Ordinal,,"Given as a percentage, ‘~, ’<‘ and ‘>’ have been removed",Any anxiety disorder was determined using the DAWBA. The child completed the computerised questions and an ordered categorical measure of any anxiety disorder with 6 categories was derived using computer algorithms. The categories are probability bands and indicate the likelihood of the child having any anxiety disorder. The categories range from <0.1% (0.1% children in this band have any anxiety disorder) to > 70% (>70% of children in this band have any anxiety disorder). See Goodman2011 for more details.,Goodman2011.pdf
anx_band_15,Ordinal,,"Given as a percentage, ‘~, ’<‘ and ‘>’ have been removed",Any anxiety disorder was determined using the DAWBA. The child completed the computerised questions and an ordered categorical measure of any anxiety disorder with 6 categories was derived using computer algorithms. The categories are probability bands and indicate the likelihood of the child having any anxiety disorder. The categories range from <0.1% (0.1% children in this band have any anxiety disorder) to > 70% (>70% of children in this band have any anxiety disorder). See Goodman2011 for more details.,Goodman2011.pdf
dep_band_07,Ordinal,,"Given as a percentage, ‘~, ’<‘ and ‘>’ have been removed",Depression was determined using the DAWBA. The caregiver completed the computerised questions and an ordered categorical measure of depression with 6 categories was derived using computer algorithms. The categories are probability bands and indicate the likelihood of the child having depression. The categories range from <0.1% (0.1% children in this band have depression) to > 70% (>70% of children in this band have depression). See Goodman2011 for more details.,Goodman2011.pdf
dep_band_10,Ordinal,,"Given as a percentage, ‘~, ’<‘ and ‘>’ have been removed",Depression was determined using the DAWBA. The caregiver completed the computerised questions and an ordered categorical measure of depression with 6 categories was derived using computer algorithms. The categories are probability bands and indicate the likelihood of the child having depression. The categories range from <0.1% (0.1% children in this band have depression) to > 70% (>70% of children in this band have depression). See Goodman2011 for more details.,Goodman2011.pdf
