,Id,Age,Sex,LikeMusic,LikeTV,LikeDrawing,LikeComputer,LikeOutSport,LikeInSport,FriendCount,LikeFriendPlay,LikeAlone,FunFamily,LikeSchool,SadSchool,TiredSchool,FedSchool,FriendTalk,Bullied,BullyOthers,ChildLeftOut
0,M10001N,7.3,Female,I like it a lot,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a bit,Some,I like it a lot,All of the time,All of the time,I like it a lot,Some of the time,Some of the time,Never,Never,All of the time,Some of the time,Never
1,M10002P,7.4,Male,I like it a bit,I like it a lot,I like it a bit,I like it a bit,I like it a lot,I like it a lot,Lots,I like it a lot,Never,Some of the time,I like it a lot,Never,Some of the time,Some of the time,Never,Never,Never,Never
2,M10007U,7.3,Male,I like it a bit,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a bit,Lots,I like it a lot,Never,Some of the time,I like it a lot,Never,Never,Never,Never,Never,Never,Never
3,M10011Q,7.5,Female,I like it a bit,I like it a bit,I like it a lot,I like it a bit,I like it a lot,I like it a lot,Lots,I like it a lot,Never,All of the time,I like it a lot,Never,Never,Never,Never,Never,Never,Never
4,M10015U,7.1,Female,I like it a lot,I like it a bit,I like it a lot,I like it a bit,I like it a lot,I like it a bit,Not many,I like it a lot,Some of the time,Some of the time,I like it a bit,Never,Some of the time,Never,Never,Never,Never,Some of the time
5,M10016V,7.7,Male,I like it a bit,I like it a lot,,I like it a bit,I like it a lot,I like it a bit,Some,I like it a lot,Never,Some of the time,I like it a bit,Never,Some of the time,Some of the time,Some of the time,Never,Never,Never
6,M10017W,7.0,Male,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a bit,I like it a lot,Some,I like it a lot,All of the time,All of the time,I don't like it,Never,All of the time,Some of the time,All of the time,Never,All of the time,Some of the time
7,M10018X,6.9,Female,I like it a lot,I like it a bit,I like it a lot,I don't like it,I like it a lot,I like it a bit,Not many,I like it a lot,Some of the time,Some of the time,I like it a bit,Some of the time,All of the time,Some of the time,Never,All of the time,Never,Some of the time
8,M10020R,7.2,Female,I like it a lot,I like it a lot,I like it a bit,I like it a bit,I like it a bit,I like it a bit,Lots,I like it a lot,All of the time,All of the time,I like it a lot,Some of the time,Never,Some of the time,Some of the time,Never,Never,Never
9,M10021S,7.5,Female,I like it a bit,I like it a lot,I like it a lot,I like it a bit,I like it a lot,I like it a lot,Some,I like it a lot,Some of the time,All of the time,I don't like it,Never,Some of the time,Some of the time,All of the time,Never,Never,Some of the time
10,M10024V,7.1,Male,I like it a bit,I like it a bit,I like it a lot,I like it a bit,I like it a lot,I don't like it,Lots,I like it a lot,Never,Some of the time,I like it a lot,Some of the time,Never,Never,Some of the time,Some of the time,Never,Some of the time
11,M10025W,7.0,Male,I don't like it,I like it a lot,I like it a lot,I like it a lot,I like it a bit,I like it a lot,Lots,I like it a lot,Never,All of the time,I like it a bit,Never,Some of the time,Some of the time,Some of the time,Some of the time,Never,Never
12,M10027Y,7.3,Male,I don't like it,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I don't like it,Lots,I like it a lot,Never,Some of the time,I don't like it,All of the time,All of the time,All of the time,Some of the time,Never,Never,Never
13,M10029A,7.2,Male,I like it a lot,I don't like it,I like it a lot,I like it a bit,I don't like it,I don't like it,Lots,I like it a lot,Never,Never,I don't like it,Some of the time,Never,Never,Never,Never,Never,Never
14,M10034X,7.0,Male,I like it a lot,I like it a lot,I like it a bit,I like it a lot,I like it a lot,I like it a lot,Lots,I like it a lot,Never,All of the time,I don't like it,Never,All of the time,All of the time,All of the time,Never,Never,Never
15,M10036Z,7.4,,,,,,,,,,,,,,,,,,,
16,M10038B,7.3,Female,I like it a lot,I like it a bit,I like it a lot,I like it a bit,I like it a lot,I like it a bit,Lots,I like it a lot,Never,All of the time,I like it a lot,Never,Never,Never,Never,Some of the time,All of the time,Never
17,M10039C,7.4,Male,I like it a lot,I like it a lot,I like it a bit,I like it a bit,I like it a lot,I don't like it,Lots,I like it a lot,Never,Some of the time,I like it a lot,Never,All of the time,Some of the time,Never,Never,Never,Some of the time
18,M10040V,7.3,Female,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Lots,I like it a lot,Never,All of the time,I like it a lot,Some of the time,Some of the time,Never,Never,Never,Some of the time,All of the time
19,M10041W,7.4,Female,I like it a lot,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Lots,I like it a lot,Never,All of the time,I like it a lot,Never,Some of the time,Never,Never,Some of the time,Never,Never
20,M10042X,7.1,Female,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a bit,Lots,I like it a lot,Never,Some of the time,I like it a bit,Never,Some of the time,Some of the time,Some of the time,Never,Never,Never
21,M10043Y,6.9,Female,I like it a lot,I like it a lot,I like it a lot,I like it a bit,I like it a lot,I don't like it,Lots,I like it a lot,Never,All of the time,I like it a lot,Never,Some of the time,Never,Some of the time,Never,Never,Never
22,M10044Z,7.1,,,,,,,,,,,,,,,,,,,
23,M10046B,7.1,Female,I like it a lot,I like it a bit,I like it a bit,I like it a lot,I like it a lot,I like it a bit,Lots,I like it a lot,Some of the time,All of the time,I like it a lot,Never,Some of the time,Some of the time,Never,Never,Never,Some of the time
24,M10052Z,7.0,Male,I like it a lot,I don't like it,I like it a lot,I like it a lot,I like it a lot,I don't like it,Lots,I like it a lot,Never,All of the time,I like it a lot,Some of the time,Never,Never,Never,Never,Never,Never
25,M10054B,7.4,Female,I like it a lot,I like it a lot,I like it a lot,I like it a bit,I like it a lot,I like it a lot,Lots,I like it a lot,Some of the time,All of the time,I like it a lot,Some of the time,Some of the time,Never,Some of the time,Some of the time,Never,Some of the time
26,M10056D,7.2,Female,I like it a lot,I like it a lot,I like it a bit,I like it a bit,I like it a lot,I like it a lot,Lots,I like it a lot,Never,All of the time,I like it a lot,Some of the time,All of the time,Some of the time,Never,All of the time,Never,Never
27,M10057E,7.3,Male,I like it a lot,I like it a lot,I like it a bit,I like it a bit,I like it a lot,I like it a bit,Lots,I like it a lot,Some of the time,All of the time,I like it a bit,Some of the time,Some of the time,Some of the time,Some of the time,Never,Some of the time,Some of the time
28,M10059G,7.2,Female,I like it a lot,I don't like it,I like it a bit,I like it a bit,I like it a lot,I like it a bit,Lots,I like it a lot,All of the time,All of the time,I like it a lot,Some of the time,Some of the time,Never,Never,All of the time,Never,Some of the time
29,M10060Z,6.8,,,,,,,,,,,,,,,,,,,
30,M10062B,7.5,Female,I like it a lot,I like it a lot,I like it a bit,I like it a bit,I like it a lot,I like it a bit,Some,I like it a lot,Some of the time,All of the time,I like it a bit,Some of the time,Some of the time,Never,Some of the time,Never,Never,Never
31,M10063C,7.2,Female,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I don't like it,I don't like it,Lots,I like it a lot,Never,Some of the time,I like it a lot,Never,Some of the time,Some of the time,Never,Some of the time,Never,Some of the time
32,M10064D,7.4,Male,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a bit,I like it a lot,Lots,I like it a lot,Never,All of the time,I don't like it,Some of the time,All of the time,All of the time,Some of the time,Some of the time,Some of the time,Never
33,M10068H,7.1,Male,I don't like it,I like it a lot,I like it a bit,I like it a lot,I like it a lot,I like it a bit,Lots,I like it a lot,Never,All of the time,I like it a lot,Some of the time,Some of the time,Some of the time,All of the time,Never,Never,Some of the time
34,M10069J,7.0,Female,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a bit,Lots,I like it a lot,Never,All of the time,I like it a lot,Never,Never,Never,Never,Never,Never,Never
35,M10071C,7.2,Female,I like it a lot,I like it a bit,I like it a lot,I like it a bit,I like it a lot,I like it a lot,Lots,I like it a lot,Some of the time,All of the time,I like it a bit,Some of the time,Some of the time,Some of the time,Some of the time,Never,Never,Some of the time
36,M10072D,6.8,Female,I like it a lot,I like it a bit,I like it a lot,I like it a bit,I like it a bit,I like it a lot,Lots,I like it a lot,Never,All of the time,I like it a bit,Never,Some of the time,Never,Some of the time,Never,Never,Some of the time
37,M10073E,7.2,Female,I like it a lot,I like it a bit,I don't like it,,I like it a lot,I like it a bit,Lots,I like it a lot,All of the time,Some of the time,I like it a lot,Some of the time,Some of the time,Some of the time,All of the time,Some of the time,Never,Some of the time
38,M10074F,6.7,Male,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Lots,I like it a lot,Some of the time,All of the time,I like it a lot,Never,All of the time,All of the time,All of the time,Never,Never,Some of the time
39,M10079L,7.2,Male,I like it a lot,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Lots,I like it a lot,All of the time,All of the time,I like it a bit,Never,Some of the time,Never,Some of the time,Some of the time,Some of the time,Never
40,M10083G,7.0,Female,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Lots,I like it a bit,Some of the time,All of the time,I like it a lot,Never,All of the time,All of the time,All of the time,Never,Never,Some of the time
41,M10088M,7.8,Female,I like it a bit,I like it a lot,I like it a bit,I like it a lot,I like it a lot,I like it a bit,Some,I like it a lot,Some of the time,Some of the time,I like it a lot,Some of the time,Some of the time,Never,Never,Some of the time,Never,Some of the time
42,M10089N,6.8,Female,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Lots,I like it a lot,Never,Some of the time,I like it a lot,Never,Never,Some of the time,Some of the time,Some of the time,Never,Some of the time
43,M10091G,7.3,Female,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,Lots,I like it a lot,Some of the time,Some of the time,I like it a bit,Some of the time,Never,Some of the time,Some of the time,Never,Never,Some of the time
44,M10094K,7.3,Male,I like it a lot,I like it a lot,I don't like it,I like it a lot,I like it a lot,I like it a bit,Not many,I like it a lot,All of the time,All of the time,I like it a bit,All of the time,Never,Some of the time,All of the time,All of the time,Some of the time,Never
45,M10095L,6.9,Female,I like it a lot,I like it a lot,I like it a lot,I like it a bit,I like it a bit,I like it a bit,Lots,I like it a lot,Never,All of the time,I like it a lot,Some of the time,Some of the time,Never,Never,Some of the time,Never,Some of the time
46,M10096M,7.3,Male,I like it a lot,I like it a lot,I like it a bit,I like it a lot,I like it a bit,I don't like it,Lots,I like it a lot,Never,Some of the time,I like it a bit,Never,Some of the time,Some of the time,Never,Never,Never,Never
47,M10099Q,6.9,Male,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a lot,I like it a bit,Lots,I like it a lot,Some of the time,All of the time,I like it a bit,Never,Never,Never,All of the time,Never,Never,Some of the time
48,M10102S,7.3,Female,I like it a lot,I like it a bit,I like it a lot,I like it a lot,I like it a lot,I like it a bit,Lots,I like it a lot,Some of the time,All of the time,I like it a lot,Never,Some of the time,Never,Some of the time,Never,Never,Never
49,M10105V,7.0,Female,I like it a bit,I like it a lot,I like it a lot,I like it a bit,I like it a bit,I like it a lot,Some,I like it a lot,Never,All of the time,I don't like it,Some of the time,All of the time,All of the time,All of the time,Some of the time,Some of the time,Some of the time
50,M10106W,7.4,,,,,,,,,,,,,,,,,,,
